Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
77,CAPPS MANUFACTURING INC.,Drop Bottom Furnace No. 2,CAPPS MANUFACTURING INC.Drop Bottom Furnace No. 2,2121 S. EDWARDS,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D, A2ERD GEN-007A",SPECIFICATION,Drop Bottom Furnace,Despatch,146905,Drop Bottom Furnace #2,"2C per AMS 2750H, 10A per BAERD-GEN 007D and A2ERD GEN-007A",600°F/995°F,±10.0°F,ELECTRIC PROPORTIONAL,"240"" X 59"" X 90""",737.5,Q,Allen Bradley Panel View 1500,2711P-T15C4B2,±2.0°F,Eurotherm Chessell 6180A,UR34852-1-1-0706-A1,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,(gain) 45,9,0,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty Rack,0:21:00,0:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLTITE - NORTH DAKOTA,,,
78,CAPPS MANUFACTURING INC.,TANK NO. 110,CAPPS MANUFACTURING INC.TANK NO. 110,2121 S. EDWARDS,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,IMMERSION RINSE TANK,CUSTOM,TANK NO. 110,TANK NO. 110,UNASSIGNED,85°F MAX,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,0,0,0,0,0,0,0,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ALM TECHNOLOGIES, INC.",,,
79,CAPPS MANUFACTURING INC. - CUSTER,C-CPI-6054,CAPPS MANUFACTURING INC. - CUSTERC-CPI-6054,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALOFT AEROARCHITECTS,,,
80,CAPPS MANUFACTURING INC. - CUSTER,CM00295 (OVEN NO. 2),CAPPS MANUFACTURING INC. - CUSTERCM00295 (OVEN NO. 2),2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PENETRANT OVEN,GFS,91191D,CM00295 (OVEN NO. 2),ASTM E 1417-21,140°F,±15.0°F,ELECTRIC,"120"" X 24"" X 48""",80,Q,CHROMALOX,09.05,±2.0°F,Eurotherm Chessel 6180A,US27123-1-1-4009-PL1-C8,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Rack,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ALSTOM POWER, INC. AIR PREHEATER CO.",,,
81,CAPPS MANUFACTURING INC. - CUSTER,CM00296,CAPPS MANUFACTURING INC. - CUSTERCM00296,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PAINT CURE OVEN NO. 4,GFS,91191C,CM00296,2D per AMS 2750H,130°F/250°F,±10.0°F,ELECTRIC,"240"" X 138"" X 90""",1725,2 Mo,CHROMALOX,9.06,±2.0°F,Eurotherm Chessel 6180A,US27123-1-1-4009-PL1-C8,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,15.7,2.31,0.38,IP 30,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Racks,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMAZING GREEN,,,
82,CAPPS MANUFACTURING INC. - CUSTER,PAINT BAKE OVEN NO. 6,CAPPS MANUFACTURING INC. - CUSTERPAINT BAKE OVEN NO. 6,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PAINT BAKE OVEN,COL-MET,389,PAINT BAKE OVEN NO. 6,2D per AMS 2750H,130°F/250°F,±10.0°F,GAS,"144"" X 84"" X 84""",588,2 Mo,RED LION T16,T16411049035,±2.0°F,Eurotherm Chessell 6180A,US27123-1-1-4009-PL1-C8,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,0.6,127,1,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMERICA JET AT SLN DIV. OF JRM ENTERPRISES, INC.",,,
83,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 101,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 101,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,AQUEOUS DEGREASER,CUSTOM,TANK NO. 101,TANK NO. 101,5C per BAERD GEN-007D,125°F/155°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,07.01.104,±2°F,Eurotherm 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN CONTROL & ENGINEERING SERVICE,,,
84,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 102,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 102,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,HOT WATER RINSE,CUSTOM,TANK NO. 102,TANK NO. 102,5C per BAERD GEN-007D,112°F/118°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,6.35,±2°F,Eurotherm Chessell 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMERICAN HEAT TREATING - ALABAMA, LLC",,,
85,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 103,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 103,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,ALKALINE CLEAN TANK,CUSTOM,TANK NO. 103,TANK NO. 103,5C per BAERD GEN-007D,122°F/128°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,09.29.05,±2°F,Eurotherm 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN MEATS PROCESSORS L.L.C.,,,
86,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 104,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 104,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,ALKALINE ETCH TANK,CUSTOM,TANK NO. 104,TANK NO. 104,5C per BAERD GEN-007D,90°F/104°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,06.44,±2°F,Eurotherm 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN METAL FABRICATION - WELLINGTON,,,
87,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 109,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 109,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,ALODINE 1600/1660 TANK,CUSTOM,TANK NO. 109,TANK NO. 109,5C per BAERD GEN-007D,65°F/125°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,09.29.112,±2°F,Eurotherm Chessell 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN METAL WICHITA,,,
88,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 111,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 111,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,CHROMIC ACID ANODIZE,CUSTOM,TANK NO. 111,TANK NO. 111,5C per BAERD GEN-007D,96°F/99°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,09.29.108,±2°F,Eurotherm Chessell 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN PRECISION MACHINING LLC,,,
89,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 117,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 117,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,DILUTE CHROME SEAL,CUSTOM,TANK NO. 117,TANK NO. 117,5C per BAERD GEN-007D,191°F/199°F,±5°F,ELECTRIC PROPORTIONAL,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,09.29.110,±2°F,Eurotherm Chessell 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN STRUCTURAL SYSTEMS,,,
90,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 118,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 118,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,HOT WATER RINSE,CUSTOM,TANK NO. 118,TANK NO. 118,5C per BAERD GEN-007D,110°F/130°F,±5°F,ELECTRIC ON/OFF,"90"" X 44"" X 234""",536.3,A,Barber-Colman 75C,IT1235000169,±2°F,Eurotherm Chessell 6180A,US27123-1-1-4009-PL1-C8,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICOLD LOGISTICS,,,
91,CAPPS MANUFACTURING INC. - CUSTER,TANK NO. 119,CAPPS MANUFACTURING INC. - CUSTERTANK NO. 119,2120 S. CUSTER,"WICHITA, KS 67213",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,Alodine 600,CUSTOM,TANK NO. 119,TANK NO. 119,5C per BAERD GEN-007D,70°F/100°F,±5°F,ELECTRIC ON/OFF,"48"" X 30"" X 30""",25,A,Barber-Colman 75C,IT1235000169,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICUS CORP.,,,
92,CELCO,OVEN NO. 1,CELCOOVEN NO. 1,103 N. LAWRENCE,"ANTHONY, KS 67003",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,BAKE OVEN,W2071,1,OVEN NO. 1,5D PER AMS 2750H,375°F,±25.0°F,ELECTRIC,"17"" X 19"" X 16""",3,6 Mo,MAPLE SYSTEMS HMI5043L,1704112167,±2.0°F,MAPLE SYSTEMS HMI5043L,1704112167,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMERITECH DIE & MOLD SOUTH, INC.",,,
93,CENTER INDUSTRIES CORP.,CTR AGE OVEN NO. 1,CENTER INDUSTRIES CORP.CTR AGE OVEN NO. 1,2505 S. CUSTER,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,AGE OVEN,GRIEVE B4-500,411110,CTR AGE OVEN NO. 1,2D per AMS 2750H,350°F,±10.0°F,GAS,"60"" X 60"" X 108""",225,2 Mo,HONEYWELL UDC 2500,14W39C4000000805226,±2.0°F,HONEYWELL DR4500,14W25C4000000754603,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,2,0.5,0.05,Out 1 Hi 100,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMETEK ADVANCED INDUSTRIES, INC.",,,
94,CENTER INDUSTRIES CORP.,CTR AGE OVEN NO. 2,CENTER INDUSTRIES CORP.CTR AGE OVEN NO. 2,2505 S. CUSTER,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,AGE OVEN,501,212,CTR AGE OVEN NO. 2,2D per AMS 2750H,350°F,±10.0°F,GAS,"60"" X 60"" X 108""",225,2 Mo,HONEYWELL UDC2500,0829Y878408600001,±2.0°F,HONEYWELL DR45AT,0829Y878408500001,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,2.5,0.9,0,out/Hi 100,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMETEK B & S AIRCRAFT PARTS & ACC., INC.",,,
95,CENTER INDUSTRIES CORP.,CTR High Temp Furnace No. 1,CENTER INDUSTRIES CORP.CTR High Temp Furnace No. 1,2505 S. CUSTER,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,Wisconsin Oven ,SDB-8128-12G,06125A1310,CTR High Temp Furnace No. 1,2D per AMS2750H,985°F,±10.0°F,GAS PROPORTIONAL,"37"" X 37"" X 50""",39.6,Bi-Monthly,Eurotherm 3204,FC1338002211,±2.0°F,Eurotherm Invensys Nanodac,FC1339000097,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,40,200,15,OP Hi: 100.0,OP Lo: 0.0,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMI METALS - EUROPE DIVISION,,,
96,CENTER INDUSTRIES CORP.,CTR SALT BATH NO. 2,CENTER INDUSTRIES CORP.CTR SALT BATH NO. 2,2505 S. CUSTER,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,SALT BATH,UNAVAILABLE,SB2,CTR SALT BATH NO. 2,UNASSIGNED,990°F,±10.0°F,GAS,"120"" X 36"" X 72""",180,6 Mo,HONEYWELL UDC 2500,1034Y087857000001,±2.0°F,HONEYWELL DR45AT,1030Y086296500001,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,3,5.51,filter 1,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC.",,,
97,CHARLES ENGINEERING,108582A0313,CHARLES ENGINEERING108582A0313,10400 S. 119TH ST. WEST,"CLEARWATER, KS 67026",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,AGE OVEN NO. 2,WRC6126-500,108582A0313,108582A0313,"2C per AMS 2750H, 10A per BAERD-GEN 007D",225°F/375°F,±10.0°F,GAS PROPORTIONAL,"66"" X 54"" X 300""",618.8,M,WATLOW F4,53128,±2.0°F,EUROTHERM 6180A,PL1805001022-0518-PL3,±2.0°F,Above results obtained using a 3°F/minute ramp rate starting 30°F below final setpoint.,On-Site,PRODUCTION - Tested on Site,Used,17,0.17,0.15,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC. - CA DIVISION",,,
98,CHARLES ENGINEERING,411623,CHARLES ENGINEERING411623,10400 S. 119TH ST. WEST,"CLEARWATER, KS 67026",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, BAERD GEN-007D",SPECIFICATION,AGE OVEN,GRIEVE WRC666-500,411623,411623,"2C per AMS 2750H, 10A per BAERD-GEN 007D",225°F/375°F,±10.0°F,ELECTRIC PROPORTIONAL,"68"" X 54"" X 164""",348.5,M,WATLOW F4,47092,±2.0°F,EUROTHERM 6180A,PL1805001022-0518-PL3,±2.0°F,Above results obtained using a 3°F/minute ramp rate starting 30°F below final setpoint.,On-Site,PRODUCTION - Tested on Site,Used,16,14.35,0.55,Mreset 0,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:21:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC. - TX DIVISION",,,
